I,J,DL,Z,R,Q(I->J),"E""corr","E""uncorr","E""IJ-E""I-E""J",corr/uncorr,"dDIJ*VIJ,unc",Gsol,"tot,corr"
2,1,C1,0,2.19,0,-463.6369064,-461.3275136,-0.00014589,0.00001179,-0.00003293,0,-0.112
3,1,C1,0,4.66,0,-463.636801,-461.3275564,-0.00000289,-0.00000052,-0.00000371,0,-0.004
3,2,C1,0,2.19,0,-463.6363779,-461.3271868,-0.00016482,-0.00000672,-0.00003304,0,-0.124
4,1,N1,0,7.19,0,-461.328328,-461.328328,-0.00000058,-0.00000058,-0.00000066,0,-0.001
4,2,C1,0,4.66,0,-463.6371237,-461.3279561,-0.00000687,-0.00000448,-0.00000244,0,-0.006
4,3,C1,0,2.19,0,-463.637351,-461.3280202,-0.00019649,-0.00003812,-0.00001732,0,-0.134
5,1,C1,0,1.18,0,-463.6411529,-461.3278282,-0.00408279,0.00014562,0.00002789,0,-2.544
5,2,C1,0,3.09,0,-463.636396,-461.3274789,0.00008913,0.00011913,-0.00000919,0,0.05
5,3,C1,0,5.26,0,-463.6365133,-461.327618,0.00000941,0.00001052,-0.00000163,0,0.005
5,4,N1,0,7.59,0,-461.3283989,-461.3283989,0.00000113,0.00000113,-0.00000029,0,0.001
6,1,C1,0,2.32,0,-463.6360558,-461.3272492,-0.00008741,-0.00000934,0.00000622,0,-0.051
6,2,C1,0,1.18,0,-463.6397555,-461.3270474,-0.00437223,-0.00018337,0.00008595,0,-2.69
6,3,C1,0,3.09,0,-463.6353305,-461.3267744,0.00009047,0.00012005,-0.0000093,0,0.051
6,4,C1,0,5.26,0,-463.6363163,-461.3276565,0.00000843,0.00000954,-0.00000103,0,0.005
6,5,C1,0,2.19,0,-463.6359482,-461.3274122,-0.00025518,-0.00009977,0.00002389,0,-0.145
7,1,C1,0,4.73,0,-463.6359776,-461.327236,-0.00000973,-0.00000736,0.00000156,0,-0.005
7,2,C1,0,2.32,0,-463.6354652,-461.3268572,-0.00008248,-0.00000434,0.00000605,0,-0.048
7,3,C1,0,1.18,0,-463.6397949,-461.327068,-0.00437456,-0.00018475,0.00008804,0,-2.69
7,4,C1,0,3.09,0,-463.6362382,-461.3275392,0.00008599,0.00011565,-0.00000788,0,0.049
7,5,C1,0,4.66,0,-463.6357017,-461.3273082,-0.00000926,-0.00000699,0.00000154,0,-0.005
7,6,C1,0,2.19,0,-463.6348212,-461.3266415,-0.00023053,-0.00007424,0.00001868,0,-0.133
8,1,N1,0,7.23,0,-461.3280245,-461.3280245,-0.00000173,-0.00000173,0.00000046,0,-0.001
8,2,C1,0,4.73,0,-463.6364824,-461.327655,-0.0000104,-0.00000804,0.00000208,0,-0.005
8,3,C1,0,2.32,0,-463.6365942,-461.327684,-0.00008464,-0.00000661,0.00000845,0,-0.048
8,4,C1,0,1.18,0,-463.6415093,-461.3283361,-0.00409585,0.00011284,0.00002649,0,-2.554
8,5,N1,0,7.19,0,-461.3280967,-461.3280967,-0.00000134,-0.00000134,0.00000024,0,-0.001
8,6,C1,0,4.66,0,-463.6356876,-461.3273668,-0.00000775,-0.00000544,0.00000094,0,-0.004
8,7,C1,0,2.19,0,-463.6359135,-461.3274278,-0.0002342,-0.00007768,0.00001693,0,-0.136
9,1,C1,0,2.99,0,-463.6371514,-461.3280338,-0.0000656,-0.00004015,0.00000329,0,-0.039
9,2,C1,0,4.17,0,-463.6365006,-461.3276129,0.00000013,0.0000049,0.00000088,0,0.001
9,3,C1,0,6.18,0,-463.6365333,-461.3276427,0.0000051,0.00000553,-0.00000048,0,0.003
9,4,N1,0,8.35,0,-461.3284185,-461.3284185,0.00000126,0.00000126,-0.00000018,0,0.001
9,5,C1,0,1.18,0,-463.6408363,-461.3278594,-0.00402588,0.00020678,0.00002082,0,-2.513
9,6,C1,0,3.09,0,-463.6356355,-461.3272317,0.00007317,0.00010055,-0.00000631,0,0.042
9,7,C1,0,5.26,0,-463.6357051,-461.3273172,0.00000295,0.00000375,0.00000027,0,0.002
9,8,N1,0,7.59,0,-461.3281153,-461.3281153,-0.00000013,-0.00000013,0.00000009,0,0
10,1,C1,0,3.59,0,-463.6359374,-461.3272085,0.00001863,0.00002594,-0.00000218,0,0.01
10,2,C1,0,2.99,0,-463.6354472,-461.3269098,-0.00007619,-0.00005126,0.00000528,0,-0.044
10,3,C1,0,4.17,0,-463.6354134,-461.3268893,-0.00000483,-0.00000029,0.00000126,0,-0.002
10,4,C1,0,6.18,0,-463.6363081,-461.3276559,0.00000434,0.00000473,-0.00000038,0,0.002
10,5,C1,0,2.32,0,-463.6357842,-461.3273336,-0.00010355,-0.00002658,0.00000726,0,-0.06
10,6,C1,0,1.18,0,-463.6388294,-461.3266153,-0.00425049,-0.00004235,0.00007264,0,-2.622
10,7,C1,0,3.09,0,-463.634502,-461.3264586,0.00007635,0.00010315,-0.00000666,0,0.044
10,8,C1,0,5.26,0,-463.6356631,-461.3273506,0.00000445,0.00000535,-0.00000014,0,0.003
10,9,C1,0,2.19,0,-463.6359556,-461.3274307,-0.00025927,-0.00010396,0.00002438,0,-0.147
11,1,C1,0,5.46,0,-463.6359594,-461.3272258,0.00000007,0.00000108,0.00000013,0,0
11,2,C1,0,3.59,0,-463.6353529,-461.3268223,0.00002147,0.00002874,-0.00000279,0,0.012
11,3,C1,0,2.99,0,-463.6354885,-461.3269331,-0.0000765,-0.00005159,0.00000522,0,-0.045
11,4,C1,0,4.17,0,-463.6363174,-461.3276501,-0.00000158,0.00000299,0.00000061,0,-0.001
11,5,C1,0,4.73,0,-463.6356939,-461.3273071,-0.00000986,-0.0000076,0.0000012,0,-0.005
11,6,C1,0,2.32,0,-463.63469,-461.3265965,-0.00010776,-0.00003096,0.00000651,0,-0.064
11,7,C1,0,1.18,0,-463.6388337,-461.3265985,-0.00425192,-0.00004425,0.00007342,0,-2.622
11,8,C1,0,3.09,0,-463.6355916,-461.3272408,0.00007932,0.00010761,-0.00000748,0,0.045
11,9,C1,0,4.66,0,-463.6357092,-461.3273265,-0.00000947,-0.00000721,0.00000152,0,-0.005
11,10,C1,0,2.19,0,-463.634801,-461.3266348,-0.00023099,-0.00007478,0.00001862,0,-0.133
12,1,N1,0,7.73,0,-461.327984,-461.327984,-0.00000046,-0.00000046,0.00000031,0,0
12,2,C1,0,5.46,0,-463.6364361,-461.327606,0.00000073,0.00000174,0.00000058,0,0.001
12,3,C1,0,3.59,0,-463.6364513,-461.3276076,0.00002318,0.00003057,-0.00000141,0,0.014
12,4,C1,0,2.99,0,-463.6374442,-461.3284502,-0.0000659,-0.00004043,0.00000348,0,-0.039
12,5,N1,0,7.23,0,-461.3280577,-461.3280577,-0.00000157,-0.00000157,0.00000027,0,-0.001
12,6,C1,0,4.73,0,-463.6356545,-461.3273297,-0.0000098,-0.00000757,0.00000098,0,-0.006
12,7,C1,0,2.32,0,-463.6357515,-461.3273417,-0.00010738,-0.00003079,0.00000637,0,-0.063
12,8,C1,0,1.18,0,-463.640759,-461.3279058,-0.00402564,0.00019927,0.00000609,0,-2.522
12,9,N1,0,7.19,0,-461.3280773,-461.3280773,-0.00000145,-0.00000145,0.00000026,0,-0.001
12,10,C1,0,4.66,0,-463.6356406,-461.3273225,-0.00000816,-0.00000586,0.00000108,0,-0.004
12,11,C1,0,2.19,0,-463.6358767,-461.3273938,-0.00024093,-0.00008464,0.00001891,0,-0.139
13,1,C1,0,4.8,0,-463.6380797,-461.3286155,-0.00000761,-0.00000566,0,0,-0.005
13,2,C1,0,5.64,0,-463.6374925,-461.3282385,-0.00000542,-0.00000447,0.00000047,0,-0.003
13,3,N1,0,7.26,0,-461.328264,-461.328264,0.00000048,0.00000048,0.00000009,0,0
13,4,N1,0,9.3,0,-461.3290354,-461.3290354,0.00000065,0.00000065,0.00000003,0,0
13,5,C1,0,2.99,0,-463.6378615,-461.3287217,-0.0000648,-0.00003932,0.00000291,0,-0.039
13,6,C1,0,4.17,0,-463.6366956,-461.3279448,-0.00000067,0.00000364,0.00000034,0,0
