I,J,K,DL,RMIN,RMAX,"E""corr","deltaE""IJK",corr/uncorr,dDIJK*VIJK,Gsol,tot
3,2,1,C1,2.19,2.19,-695.4552009,-0.00000151,-0.00000185,0.00000192,0,0
4,3,2,C1,2.19,2.19,-695.4556121,-0.00000174,-0.00000212,0.00000226,0,0
5,2,1,C1,1.18,2.19,-695.4592968,0.00000066,0.00000312,-0.00000369,0,-0.002
6,2,1,C1,1.18,2.19,-695.4586709,-0.00000931,-0.00000923,0.00001066,0,0.001
6,3,2,C1,1.18,2.19,-695.4579536,0.00000162,0.00000423,-0.00000486,0,-0.002
6,5,1,C1,1.18,2.19,-695.4587955,-0.0000044,-0.00000377,0.00000359,0,-0.001
6,5,2,C1,1.18,2.19,-695.4583169,0.00000204,0.00000502,-0.0000057,0,-0.002
7,2,1,C1,2.19,2.32,-695.4542933,0.00000035,0.00000039,-0.00000042,0,0
7,3,2,C1,1.18,2.19,-695.4581394,-0.00000945,-0.00000949,0.00001092,0,0.001
7,4,3,C1,1.18,2.19,-695.4589332,0.00000141,0.00000403,-0.00000457,0,-0.002
7,6,1,C1,2.19,2.32,-695.453591,0.0000001,0.00000011,-0.00000008,0,0
7,6,2,C1,1.18,2.19,-695.457368,-0.00000436,-0.00000379,0.00000356,0,0
7,6,3,C1,1.18,2.19,-695.4572288,0.00000179,0.00000478,-0.00000531,0,-0.002
7,6,5,C1,2.19,2.19,-695.4534851,-0.00000207,-0.00000245,0.00000286,0,0
8,3,2,C1,2.19,2.32,-695.4548569,0.00000025,0.00000027,-0.00000024,0,0
8,4,3,C1,1.18,2.19,-695.4599262,-0.00001051,-0.00001063,0.0000126,0,0.001
8,7,2,C1,2.19,2.32,-695.454094,0.0000001,0.0000001,-0.00000007,0,0
8,7,3,C1,1.18,2.19,-695.4585024,-0.00000433,-0.00000357,0.00000362,0,0
8,7,4,C1,1.18,2.19,-695.4589512,0.00000135,0.00000425,-0.00000453,0,-0.002
8,7,6,C1,2.19,2.19,-695.4534492,-0.00000185,-0.0000022,0.00000256,0,0
9,5,1,C1,1.18,1.18,-695.4636694,-0.00001189,-0.00000045,0.00000122,0,-0.007
9,6,5,C1,1.18,2.19,-695.4583113,0.00000259,0.00000575,-0.00000644,0,-0.002
10,5,1,C1,1.18,2.32,-695.4585209,0.0000002,0.00000036,-0.00000043,0,0
10,6,1,C1,1.18,2.32,-695.4575708,0.00000014,0.00000013,-0.0000001,0,0
10,6,2,C1,1.18,1.18,-695.4613775,-0.00001198,-0.00000078,0.0000019,0,-0.006
10,6,5,C1,1.18,2.19,-695.4575932,-0.00000772,-0.00000749,0.00000831,0,0
10,7,6,C1,1.18,2.19,-695.4562747,0.00000389,0.00000723,-0.00000829,0,-0.003
10,9,5,C1,1.18,2.19,-695.45849,-0.00000758,-0.00000739,0.00000817,0,0
10,9,6,C1,1.18,2.19,-695.4574242,0.00000427,0.00000753,-0.0000088,0,-0.003
11,6,1,C1,2.32,2.32,-695.4534503,-0.0000001,-0.00000012,0.00000015,0,0
11,6,2,C1,1.18,2.32,-695.4571284,0.00000015,0.00000027,-0.00000033,0,0
11,6,5,C1,2.19,2.32,-695.4533522,0.00000027,0.0000003,-0.00000032,0,0
11,7,2,C1,1.18,2.32,-695.4569822,0.00000016,0.00000013,-0.00000012,0,0
11,7,3,C1,1.18,1.18,-695.4614221,-0.00001206,-0.00000082,0.00000208,0,-0.006
11,7,6,C1,1.18,2.19,-695.456475,-0.00000749,-0.00000735,0.00000809,0,0
11,8,7,C1,1.18,2.19,-695.4573695,0.00000329,0.00000639,-0.00000726,0,-0.002
11,10,5,C1,2.19,2.32,-695.4533116,0.00000016,0.00000017,-0.00000015,0,0
11,10,6,C1,1.18,2.19,-695.4564625,-0.00000767,-0.00000753,0.00000834,0,0
11,10,7,C1,1.18,2.19,-695.4562674,0.00000421,0.0000075,-0.00000871,0,-0.003
11,10,9,C1,2.19,2.19,-695.4534848,-0.00000205,-0.00000242,0.00000282,0,0
12,7,2,C1,2.32,2.32,-695.4539211,-0.00000011,-0.00000013,0.00000017,0,0
12,7,3,C1,1.18,2.32,-695.4582282,0.00000003,0.00000019,-0.00000017,0,0
12,7,6,C1,2.19,2.32,-695.4532873,0.00000017,0.00000017,-0.00000015,0,0
12,8,3,C1,1.18,2.32,-695.4589458,0.00000007,0.00000007,0.00000014,0,0
12,8,4,C1,1.18,1.18,-695.4639621,-0.00001214,-0.00000179,0.00000255,0,-0.006
12,8,7,C1,1.18,2.19,-695.4584048,-0.00000913,-0.00000917,0.00001055,0,0.001
12,11,6,C1,2.19,2.32,-695.4532896,0.00000023,0.00000025,-0.00000025,0,0
12,11,7,C1,1.18,2.19,-695.4575386,-0.00000755,-0.00000726,0.00000816,0,0
