Path,File,E_Tot,E_Ref,E_Corr,E_SS,E_OS
./opt-HBIL-structures/srs-mp2-DMEA/,DMEA-mSO3-p1-opt-frag1.out,[H],-661.8561181650643448,-1.0890657096096266,-0.2848836308354716,-0.8041820787741067
./opt-HBIL-structures/srs-mp2-DMEA/,DMEA-mSO3-p1-opt-all.out,[H],-874.7890489141124135,-2.0293169150613397,-0.4948691208763628,-1.5344477941839711
./opt-HBIL-structures/srs-mp2-DMEA/,DMEA-mSO3-p1-opt-frag0.out,[H],-212.7614210898904901,-0.9223439829025504,-0.2011004284566893,-0.7212435544455483
./opt-HBIL-structures/srs-mp2-DMEA/,DMEA-Cl-p1-opt-frag1.out,[H],-459.5646668064196092,-0.1969193331896240,-0.0493668449821805,-0.1475524882074435
./opt-HBIL-structures/srs-mp2-DMEA/,DMEA-NO3-p1-opt-all.out,[H],-491.9573107054279717,-1.8635738987513386,-0.4610670973997968,-1.4025068013505053
./opt-HBIL-structures/srs-mp2-DMEA/,DMEA-mOSO3-p1-opt-all.out,[H],-949.6765309177943664,-2.2595160900526063,-0.5567111940359730,-1.7028048960131685
./opt-HBIL-structures/srs-mp2-DMEA/,DMEA-CF3SO3-p1-opt-frag0.out,[H],-212.7640345452535371,-0.9214989677189628,-0.2008280029518375,-0.7206709647668222
./opt-HBIL-structures/srs-mp2-DMEA/,DMEA-mOSO3-p1-opt-frag0.out,[H],-212.7632973065755380,-0.9218680452714662,-0.2009658729693233,-0.7209021723018261
./opt-HBIL-structures/srs-mp2-DMEA/,DMEA-NO3-p1-opt-frag0.out,[H],-212.7614706106213589,-0.9222980230419073,-0.2010987811400692,-0.7211992419015067
./opt-HBIL-structures/srs-mp2-DMEA/,DMEA-NO3-p1-opt-frag1.out,[H],-279.0259510801063243,-0.9201703805574202,-0.2505064071348445,-0.6696639734221146
./opt-HBIL-structures/srs-mp2-DMEA/,DMEA-CF3SO3-p1-opt-frag1.out,[H],-958.5556692903063549,-1.8075049679412674,-0.4892618812689575,-1.3182430866721573
./opt-HBIL-structures/srs-mp2-DMEA/,DMEA-Cl-p1-opt-frag0.out,[H],-212.7615951390867224,-0.9222262401248339,-0.2010929530510880,-0.7211332870734390
./opt-HBIL-structures/srs-mp2-DMEA/,DMEA-TFA-p1-opt-all.out,[H],-736.9698592034806097,-2.4670292241928125,-0.6202761600724316,-1.8467530641139980
./opt-HBIL-structures/srs-mp2-DMEA/,DMEA-TFA-p1-opt-frag0.out,[H],-212.7607818443973997,-0.9227007317517573,-0.2012457567401218,-0.7214549750113174
./opt-HBIL-structures/srs-mp2-DMEA/,DMEA-Cl-p1-opt-all.out,[H],-672.5026420110646086,-1.1366647995315751,-0.2584104905884854,-0.8782543089415695
./opt-HBIL-structures/srs-mp2-DMEA/,DMEA-CF3SO3-p1-opt-all.out,[H],-1171.4668554154848152,-2.7456763345106818,-0.6979275304976931,-2.0477488040110501
./opt-HBIL-structures/srs-mp2-DMEA/,DMEA-mOSO3-p1-opt-frag1.out,[H],-736.7498192716723224,-1.3210985108674436,-0.3476733670165422,-0.9734251438506817
