dimer,complex,int_bm,DFT,DFT_ENTVJ,DFT_X,DFT_C,mo1_DFT,mo1_DFT_ENTVJ,mo1_DFT_X,mo1_DFT_C,mo2_DFT,mo2_DFT_ENTVJ,mo2_DFT_X,mo2_DFT_C,int_DFT,int_DFT_X,int_DFT_C,int_HF_X,int_D3,int_DFT_D3
s01,Water-Water,-20.6,-152.7562447,-134.242009,-17.858345,-0.655890706,-76.37344018,-67.121433,-8.925447,-0.326560181,-76.37502083,-67.126368,-8.922537,-0.326115832,-20.4,-27.2,-8.4,-36.4,-1.6,-22.0
s02,Water-MeOH,-23.4,-192.0083709,-167.379338,-23.716942,-0.912090873,-76.37395758,-67.124092,-8.923479,-0.326386583,-115.6266135,-100.26418,-14.780562,-0.58187149,-20.5,-33.9,-10.1,-45.8,-2.8,-23.3
s03,Water-MeNH2,-28.9,-172.1486923,-148.804068,-22.440028,-0.904596312,-76.37397454,-67.126572,-8.921139,-0.326263537,-95.7641571,-81.688296,-13.502408,-0.573453099,-27.7,-43.3,-12.8,-54.8,-3.0,-30.7
s04,Water-Peptide,-33.9,-324.6978665,-281.313232,-41.735331,-1.649303508,-76.37432589,-67.127373,-8.920769,-0.326183887,-248.3125791,-214.197852,-32.797044,-1.317683074,-28.8,-46,-14.3,-66.4,-4.3,-33.1
s05,MeOH-MeOH,-24.1,-231.2611339,-200.520493,-29.572696,-1.167944922,-115.6263603,-100.263151,-14.780943,-0.582266317,-115.6267657,-100.264712,-14.780222,-0.58183174,-21,-30.3,-10.1,-42.2,-3.7,-24.7
s06,MeOH-MeNH2,-31.6,-211.4013994,-181.943592,-28.296566,-1.161241354,-115.625987,-100.264586,-14.779083,-0.582318027,-95.76416579,-81.688612,-13.502146,-0.573407786,-29.5,-40.3,-14.5,-53.3,-5.3,-34.8
s07,MeOH-Peptide,-34.4,-363.9507204,-314.457955,-47.587929,-1.904836354,-115.6272891,-100.268536,-14.776799,-0.581954064,-248.3121279,-214.199157,-32.795808,-1.317162921,-29.7,-40.2,-15,-60.9,-6.0,-35.7
s08,MeOH-Water,-21,-192.0088288,-167.382938,-23.714161,-0.911729812,-115.6257243,-100.260077,-14.783185,-0.582462325,-76.37512824,-67.126828,-8.92222,-0.326080243,-20.9,-23,-8.4,-32.7,-2.2,-23.1
s09,MeNH2-MeOH,-12.8,-211.3928777,-181.940825,-28.293406,-1.158646747,-95.76260737,-81.681753,-13.506719,-0.574135374,-115.6267696,-100.263893,-14.780917,-0.581959558,-9.2,-15.1,-6.7,-22.9,-4.4,-13.6
s10,MeNH2-MeNH2,-17.4,-191.5318075,-163.365975,-27.014254,-1.1515785,-95.76326943,-81.685293,-13.504102,-0.57387443,-95.76364625,-81.686605,-13.503427,-0.573614255,-12.8,-17.7,-10.7,-30.2,-5.7,-18.5
